League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol 1. Lig,22.09.2001 16:30,İZMİRSPOR,3,0,BATMAN PETROLSPOR
Trendyol 1. Lig,22.09.2001 16:30,BÜYÜKŞEHİR BLD.SPOR,1,1,KOMBASSAN KONYASPOR
Trendyol 1. Lig,23.09.2001 15:30,A.SEBATSPOR,1,1,ELAZIĞSPOR
Trendyol 1. Lig,23.09.2001 15:30,SİİRT JETPA SPOR,7,2,AYDINSPOR
Trendyol 1. Lig,23.09.2001 16:00,B.B. ANKARASPOR,0,0,SAKARYASPOR A.Ş.
Trendyol 1. Lig,23.09.2001 16:00,SİVASSPOR,3,4,ALTAY
Trendyol 1. Lig,23.09.2001 16:00,HATAYSPOR,2,0,ŞEKERSPOR
Trendyol 1. Lig,23.09.2001 19:00,KAYSERİSPOR,1,0,DARDANELSPOR A.Ş.
Trendyol 1. Lig,23.09.2001 19:00,ADANASPOR A.Ş.,7,1,ERCİYESSPOR
Trendyol 1. Lig,23.09.2001 19:00,ERZURUMSPOR,2,1,GÜMÜŞHANE DOĞANSPOR
Trendyol 1. Lig,29.09.2001 15:30,ALTAY,1,1,HATAYSPOR
Trendyol 1. Lig,29.09.2001 19:00,ERCİYESSPOR,2,2,SİVASSPOR
Trendyol 1. Lig,30.09.2001 14:00,ELAZIĞSPOR,2,1,B.B. ANKARASPOR
Trendyol 1. Lig,30.09.2001 14:00,GÜMÜŞHANE DOĞANSPOR,2,2,BÜYÜKŞEHİR BLD.SPOR
Trendyol 1. Lig,30.09.2001 15:00,ŞEKERSPOR,1,0,ERZURUMSPOR
Trendyol 1. Lig,30.09.2001 15:30,DARDANELSPOR A.Ş.,3,3,SİİRT JETPA SPOR
Trendyol 1. Lig,30.09.2001 15:30,SAKARYASPOR A.Ş.,2,3,İZMİRSPOR
Trendyol 1. Lig,30.09.2001 15:30,AYDINSPOR,1,3,ADANASPOR A.Ş.
Trendyol 1. Lig,30.09.2001 19:00,KAYSERİSPOR,1,1,BATMAN PETROLSPOR
Trendyol 1. Lig,30.09.2001 19:00,KOMBASSAN KONYASPOR,1,1,A.SEBATSPOR
Trendyol 1. Lig,07.10.2001 14:00,SİİRT JETPA SPOR,3,1,BATMAN PETROLSPOR
Trendyol 1. Lig,07.10.2001 14:00,ERZURUMSPOR,1,4,ALTAY
Trendyol 1. Lig,07.10.2001 14:00,GÜMÜŞHANE DOĞANSPOR,0,1,KOMBASSAN KONYASPOR
Trendyol 1. Lig,07.10.2001 15:00,B.B. ANKARASPOR,4,1,A.SEBATSPOR
Trendyol 1. Lig,07.10.2001 15:00,KAYSERİSPOR,0,4,SAKARYASPOR A.Ş.
Trendyol 1. Lig,07.10.2001 15:00,SİVASSPOR,2,0,AYDINSPOR
Trendyol 1. Lig,07.10.2001 15:00,HATAYSPOR,0,1,ERCİYESSPOR
Trendyol 1. Lig,07.10.2001 15:30,İZMİRSPOR,0,0,ELAZIĞSPOR
Trendyol 1. Lig,07.10.2001 15:30,BÜYÜKŞEHİR BLD.SPOR,0,1,ŞEKERSPOR
Trendyol 1. Lig,07.10.2001 19:00,ADANASPOR A.Ş.,6,1,DARDANELSPOR A.Ş.
