League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,06.08.2006 20:00,SİVASSPOR,1,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,06.08.2006 20:00,ANTALYASPOR A.Ş.,0,0,ÇAYKUR RİZESPOR
Trendyol Süper Lig,06.08.2006 20:00,KONYASPOR,1,1,SAKARYASPOR A.Ş.
Trendyol Süper Lig,23.08.2008 19:00,GALATASARAY A.Ş.,4,1,DENİZLİSPOR
Trendyol Süper Lig,23.08.2008 21:00,SİVASSPOR,0,0,KAYSERİSPOR
Trendyol Süper Lig,23.08.2008 21:00,HACETTEPE SPOR,1,2,BURSASPOR
Trendyol Süper Lig,23.08.2008 21:00,BÜYÜKŞEHİR BLD.SPOR,0,0,ESKİŞEHİRSPOR
Trendyol Süper Lig,23.08.2008 21:45,GAZİANTEPSPOR,1,0,FENERBAHÇE
Trendyol Süper Lig,24.08.2008 19:00,TRABZONSPOR A.Ş.,2,0,ANKARASPOR A.Ş.
Trendyol Süper Lig,24.08.2008 21:00,GENÇLERBİRLİĞİ,1,1,KOCAELİSPOR
Trendyol Süper Lig,24.08.2008 21:00,KONYASPOR,3,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,24.08.2008 21:45,ANTALYASPOR A.Ş.,2,3,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,07.08.2009 21:00,BÜYÜKŞEHİR BLD.SPOR,1,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,08.08.2009 21:00,ANTALYASPOR A.Ş.,3,0,ANKARASPOR A.Ş.
Trendyol Süper Lig,08.08.2009 21:00,DİYARBAKIRSPOR,2,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,08.08.2009 21:00,SİVASSPOR,1,2,TRABZONSPOR A.Ş.
Trendyol Süper Lig,09.08.2009 19:30,GAZİANTEPSPOR,2,3,GALATASARAY A.Ş.
Trendyol Süper Lig,09.08.2009 21:00,GENÇLERBİRLİĞİ,0,0,KAYSERİSPOR
Trendyol Süper Lig,09.08.2009 21:00,BURSASPOR,2,1,KASIMPAŞA
Trendyol Süper Lig,09.08.2009 21:00,MANİSASPOR,0,0,ESKİŞEHİRSPOR
Trendyol Süper Lig,09.08.2009 21:45,DENİZLİSPOR,0,2,FENERBAHÇE
Trendyol Süper Lig,14.08.2010 20:00,GAZİANTEPSPOR,0,0,KASIMPAŞA
Trendyol Süper Lig,14.08.2010 20:00,SİVASSPOR,2,1,GALATASARAY A.Ş.
Trendyol Süper Lig,14.08.2010 22:00,BUCASPOR,0,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,14.08.2010 22:00,ESKİŞEHİRSPOR,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,15.08.2010 19:30,MKE ANKARAGÜCÜ,0,2,TRABZONSPOR A.Ş.
Trendyol Süper Lig,15.08.2010 21:00,KARDEMİR D.Ç. KARABÜKSPOR,2,1,MANİSASPOR
Trendyol Süper Lig,15.08.2010 21:45,FENERBAHÇE,4,0,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,16.08.2010 21:00,BÜYÜKŞEHİR BLD.SPOR,0,2,KAYSERİSPOR
Trendyol Süper Lig,16.08.2010 21:00,BURSASPOR,1,0,KONYASPOR
Trendyol Süper Lig,16.08.2002 20:00,DENİZLİSPOR,1,3,GALATASARAY
Trendyol Süper Lig,17.08.2002 17:00,ELAZIĞSPOR,2,0,TRABZONSPOR
Trendyol Süper Lig,17.08.2002 19:00,BEŞİKTAŞ A.Ş.,2,1,KOCAELİSPOR
Trendyol Süper Lig,17.08.2002 19:00,GENÇLERBİRLİĞİ,4,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,17.08.2002 19:00,MALATYASPOR,1,1,GAZİANTEPSPOR
Trendyol Süper Lig,17.08.2002 19:00,SAMSUNSPOR,1,0,BURSASPOR
Trendyol Süper Lig,18.08.2002 19:00,FENERBAHÇE,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,18.08.2002 19:00,ADANASPOR A.Ş.,2,1,DİYARBAKIRSPOR
Trendyol Süper Lig,18.08.2002 19:00,ALTAY,4,2,GÖZTEPE A.Ş.
Trendyol Süper Lig,17.08.2001 20:00,BURSASPOR,2,2,BEŞİKTAŞ
Trendyol Süper Lig,18.08.2001 19:00,DİYARBAKIRSPOR,1,2,GÖZTEPE A.Ş.
Trendyol Süper Lig,18.08.2001 19:00,KOCAELİSPOR,3,1,ANTALYASPOR A.Ş.
Trendyol Süper Lig,18.08.2001 19:00,GENÇLERBİRLİĞİ,2,2,SAMSUNSPOR
Trendyol Süper Lig,18.08.2001 19:00,GALATASARAY,1,0,DENİZLİSPOR
Trendyol Süper Lig,19.08.2001 17:00,YİMPAŞ YOZGATSPOR A.Ş.,2,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,19.08.2001 17:00,İSTANBULSPOR A.Ş.,1,0,FENERBAHÇE
Trendyol Süper Lig,19.08.2001 19:00,MKE ANKARAGÜCÜ,6,0,MALATYASPOR
Trendyol Süper Lig,19.08.2001 19:00,TRABZONSPOR,2,1,GAZİANTEPSPOR
Trendyol Süper Lig,18.08.2000 20:00,ANTALYASPOR A.Ş.,1,2,BEŞİKTAŞ
Trendyol Süper Lig,19.08.2000 17:00,SİİRT JETPA SPOR,2,3,ÇAYKUR RİZESPOR
Trendyol Süper Lig,19.08.2000 17:00,MKE ANKARAGÜCÜ,1,0,KOCAELİSPOR
Trendyol Süper Lig,19.08.2000 17:00,YİMPAŞ YOZGATSPOR,2,0,DENİZLİSPOR
Trendyol Süper Lig,19.08.2000 19:00,GALATASARAY,7,0,ERZURUMSPOR
Trendyol Süper Lig,20.08.2000 17:00,TRABZONSPOR,2,1,BURSASPOR
Trendyol Süper Lig,20.08.2000 17:00,GAZİANTEPSPOR,4,0,SAMSUNSPOR
Trendyol Süper Lig,20.08.2000 17:00,GENÇLERBİRLİĞİ,1,0,ADANASPOR A.Ş.
Trendyol Süper Lig,20.08.2000 19:00,FENERBAHÇE,2,0,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,15.08.2003 20:00,TRABZONSPOR,0,1,FENERBAHÇE
Trendyol Süper Lig,16.08.2003 17:00,İSTANBULSPOR A.Ş.,1,0,ADANASPOR A.Ş.
Trendyol Süper Lig,16.08.2003 19:00,DENİZLİSPOR,1,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,16.08.2003 19:00,MKE ANKARAGÜCÜ,4,2,SAMSUNSPOR
Trendyol Süper Lig,16.08.2003 19:00,BEŞİKTAŞ A.Ş.,1,0,BURSASPOR
Trendyol Süper Lig,17.08.2003 17:00,ELAZIĞSPOR,0,0,KONYASPOR
Trendyol Süper Lig,17.08.2003 19:00,DİYARBAKIRSPOR,3,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,17.08.2003 19:00,MALATYASPOR,3,1,A.SEBATSPOR
Trendyol Süper Lig,17.08.2003 19:00,GAZİANTEPSPOR,1,2,GALATASARAY
Trendyol Süper Lig,13.08.2004 20:00,GAZİANTEPSPOR,1,0,GALATASARAY
Trendyol Süper Lig,14.08.2004 17:00,B.B. ANKARASPOR,1,3,MALATYASPOR
Trendyol Süper Lig,14.08.2004 19:00,MKE ANKARAGÜCÜ,0,0,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,14.08.2004 19:00,DİYARBAKIRSPOR,2,1,KAYSERİSPOR
Trendyol Süper Lig,14.08.2004 20:00,FENERBAHÇE,2,1,SAMSUNSPOR
