League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,10.09.2000 19:00,ERZURUMSPOR,5,0,BURSASPOR
Trendyol Süper Lig,10.09.2000 19:00,GAZİANTEPSPOR,0,0,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,10.09.2000 19:07,FENERBAHÇE,4,2,SİİRT JETPA SPOR
Trendyol Süper Lig,15.09.2000 20:00,KOCAELİSPOR,1,4,GALATASARAY
Trendyol Süper Lig,16.09.2000 19:00,BEŞİKTAŞ,3,0,FENERBAHÇE
Trendyol Süper Lig,16.09.2000 19:00,DENİZLİSPOR,1,1,BURSASPOR
Trendyol Süper Lig,16.09.2000 19:00,SAMSUNSPOR,2,2,ERZURUMSPOR
Trendyol Süper Lig,17.09.2000 15:30,SİİRT JETPA SPOR,1,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,17.09.2000 16:00,YİMPAŞ YOZGATSPOR,4,1,ADANASPOR A.Ş.
Trendyol Süper Lig,17.09.2000 19:00,ANTALYASPOR A.Ş.,2,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,17.09.2000 19:00,GENÇLERBİRLİĞİ,2,0,GAZİANTEPSPOR
Trendyol Süper Lig,17.09.2000 19:00,İSTANBULSPOR A.Ş.,1,0,TRABZONSPOR
Trendyol Süper Lig,22.09.2000 20:00,MKE ANKARAGÜCÜ,1,5,BEŞİKTAŞ
Trendyol Süper Lig,23.09.2000 19:00,ADANASPOR A.Ş.,1,1,ANTALYASPOR A.Ş.
Trendyol Süper Lig,23.09.2000 19:00,GALATASARAY,1,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,23.09.2000 19:00,GAZİANTEPSPOR,4,0,SİİRT JETPA SPOR
Trendyol Süper Lig,23.09.2000 19:00,BURSASPOR,0,2,SAMSUNSPOR
Trendyol Süper Lig,24.09.2000 19:00,DENİZLİSPOR,0,0,ÇAYKUR RİZESPOR
Trendyol Süper Lig,24.09.2000 19:00,FENERBAHÇE,3,1,YİMPAŞ YOZGATSPOR
Trendyol Süper Lig,24.09.2000 19:00,ERZURUMSPOR,1,0,KOCAELİSPOR
Trendyol Süper Lig,24.09.2000 19:00,TRABZONSPOR,2,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,29.09.2000 20:00,DENİZLİSPOR,3,1,SAMSUNSPOR
