League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,29.09.2002 19:00,GAZİANTEPSPOR,2,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,29.09.2002 19:03,FENERBAHÇE,4,2,ELAZIĞSPOR
Trendyol Süper Lig,05.10.2002 14:00,ELAZIĞSPOR,0,0,GALATASARAY
Trendyol Süper Lig,05.10.2002 15:30,İSTANBULSPOR A.Ş.,1,0,DİYARBAKIRSPOR
Trendyol Süper Lig,05.10.2002 19:00,ADANASPOR A.Ş.,1,1,MALATYASPOR
Trendyol Süper Lig,05.10.2002 19:00,BURSASPOR,1,2,TRABZONSPOR
Trendyol Süper Lig,06.10.2002 17:00,BEŞİKTAŞ A.Ş.,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,06.10.2002 19:00,SAMSUNSPOR,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,06.10.2002 19:00,GENÇLERBİRLİĞİ,0,0,DENİZLİSPOR
Trendyol Süper Lig,06.10.2002 19:00,ALTAY,1,3,FENERBAHÇE
Trendyol Süper Lig,06.10.2002 19:00,KOCAELİSPOR,1,3,GÖZTEPE A.Ş.
Trendyol Süper Lig,18.10.2002 20:00,FENERBAHÇE,1,1,ADANASPOR A.Ş.
Trendyol Süper Lig,19.10.2002 14:00,MALATYASPOR,5,4,GENÇLERBİRLİĞİ
Trendyol Süper Lig,19.10.2002 19:00,GAZİANTEPSPOR,4,2,SAMSUNSPOR
Trendyol Süper Lig,19.10.2002 19:00,GÖZTEPE A.Ş.,1,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,19.10.2002 19:00,GALATASARAY,1,0,DİYARBAKIRSPOR
Trendyol Süper Lig,20.10.2002 14:00,ELAZIĞSPOR,2,0,ALTAY
Trendyol Süper Lig,20.10.2002 19:00,TRABZONSPOR,2,0,KOCAELİSPOR
Trendyol Süper Lig,20.10.2002 19:00,DENİZLİSPOR,1,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,20.10.2002 19:00,MKE ANKARAGÜCÜ,4,0,BURSASPOR
Trendyol Süper Lig,25.10.2002 20:00,BEŞİKTAŞ A.Ş.,3,0,MALATYASPOR
Trendyol Süper Lig,26.10.2002 13:30,İSTANBULSPOR A.Ş.,1,2,TRABZONSPOR
Trendyol Süper Lig,26.10.2002 19:00,KOCAELİSPOR,3,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,26.10.2002 19:00,SAMSUNSPOR,0,0,DENİZLİSPOR
Trendyol Süper Lig,26.10.2002 19:00,ALTAY,1,2,GALATASARAY
Trendyol Süper Lig,27.10.2002 19:00,GENÇLERBİRLİĞİ,1,1,FENERBAHÇE
Trendyol Süper Lig,27.10.2002 19:00,ADANASPOR A.Ş.,0,0,ELAZIĞSPOR
