League Name,Match Date,Home Team,Away Team,Score
LaLiga2,Sat9/8/01,Gimnàstic,Real Jaén CF,0:2
LaLiga2,,Elche CF,Levante,2:2
LaLiga2,,Xerez CD,CD Badajoz,2:0
LaLiga2,,Atlético Madrid,Racing Ferrol,1:1
LaLiga2,Sun9/9/01,CD Numancia,Sporting Gijón,3:1
LaLiga2,,Extremadura,Racing,2:0
LaLiga2,,Real Oviedo,Burgos CF,2:0
LaLiga2,,Poli Ejido,SD Eibar,0:0
LaLiga2,,Córdoba CF,UD Salamanca,4:2
LaLiga2,,Real Murcia,CD Leganés,0:0
LaLiga2,,Albacete,Recr. Huelva,0:0
LaLiga2,,,,
LaLiga2,Sat9/15/01,Racing Ferrol,Poli Ejido,2:1
LaLiga2,,Recr. Huelva,Córdoba CF,2:1
LaLiga2,,UD Salamanca,Elche CF,1:0
LaLiga2,Sun9/16/01,CD Leganés,Atlético Madrid,0:3
LaLiga2,,Racing,Xerez CD,1:0
LaLiga2,,Burgos CF,Extremadura,1:0
LaLiga2,,SD Eibar,Gimnàstic,3:1
LaLiga2,,Levante,Real Murcia,0:0
LaLiga2,,Sporting Gijón,Albacete,0:0
LaLiga2,,Real Jaén CF,Real Oviedo,1:3
LaLiga2,,CD Badajoz,CD Numancia,0:0
LaLiga2,,,,
LaLiga2,Sat9/22/01,Extremadura,Real Jaén CF,5:0
LaLiga2,,Atlético Madrid,Levante,2:1
LaLiga2,Sun9/23/01,Xerez CD,CD Numancia,2:1
LaLiga2,,Racing,Burgos CF,0:2
LaLiga2,,Elche CF,Recr. Huelva,1:1
LaLiga2,,Poli Ejido,CD Leganés,1:1
LaLiga2,,Real Oviedo,SD Eibar,1:0
LaLiga2,,Real Murcia,UD Salamanca,3:3
LaLiga2,,Córdoba CF,Sporting Gijón,1:2
LaLiga2,,Albacete,CD Badajoz,2:0
LaLiga2,Wed11/14/01,Gimnàstic,Racing Ferrol,2:0
LaLiga2,,,,
LaLiga2,Sat9/29/01,SD Eibar,Extremadura,0:0
LaLiga2,,CD Leganés,Gimnàstic,2:1
LaLiga2,,Sporting Gijón,Elche CF,0:1
LaLiga2,,CD Badajoz,Córdoba CF,0:1
LaLiga2,,Recr. Huelva,Real Murcia,0:1
LaLiga2,,CD Numancia,Albacete,1:0
LaLiga2,,UD Salamanca,Atlético Madrid,0:0
LaLiga2,,Real Jaén CF,Racing,0:0
LaLiga2,Sun9/30/01,Racing Ferrol,Real Oviedo,0:2
LaLiga2,,Burgos CF,Xerez CD,3:1
LaLiga2,,Levante,Poli Ejido,0:0
LaLiga2,,,,
LaLiga2,Tue10/2/01,Atlético Madrid,Recr. Huelva,1:1
LaLiga2,Wed10/3/01,Burgos CF,Real Jaén CF,0:0
LaLiga2,,Real Oviedo,CD Leganés,0:0
LaLiga2,,Gimnàstic,Levante,1:0
LaLiga2,,Racing,SD Eibar,1:1
LaLiga2,,Extremadura,Racing Ferrol,1:2
LaLiga2,,Poli Ejido,UD Salamanca,2:5
LaLiga2,,Real Murcia,Sporting Gijón,3:1
LaLiga2,,Xerez CD,Albacete,1:2
LaLiga2,,Elche CF,CD Badajoz,1:0
LaLiga2,,Córdoba CF,CD Numancia,1:0
LaLiga2,,,,
LaLiga2,Sat10/6/01,Real Jaén CF,Xerez CD,0:2
LaLiga2,,Levante,Real Oviedo,0:0
LaLiga2,Sun10/7/01,CD Leganés,Extremadura,2:0
LaLiga2,,Sporting Gijón,Atlético Madrid,2:1
LaLiga2,,CD Badajoz,Real Murcia,1:1
LaLiga2,,UD Salamanca,Gimnàstic,3:3
LaLiga2,,SD Eibar,Burgos CF,1:0
LaLiga2,,Racing Ferrol,Racing,2:0
LaLiga2,,CD Numancia,Elche CF,1:1
LaLiga2,,Albacete,Córdoba CF,0:0
LaLiga2,,Recr. Huelva,Poli Ejido,1:0
LaLiga2,,,,
LaLiga2,Sat10/13/01,Racing,CD Leganés,3:1
LaLiga2,,Xerez CD,Córdoba CF,1:0
LaLiga2,Sun10/14/01,Burgos CF,Racing Ferrol,2:4
LaLiga2,,Real Jaén CF,SD Eibar,0:0
LaLiga2,,Extremadura,Levante,1:0
LaLiga2,,Real Oviedo,UD Salamanca,0:0
LaLiga2,,Gimnàstic,Recr. Huelva,1:2
LaLiga2,,Poli Ejido,Sporting Gijón,2:2
LaLiga2,,Atlético Madrid,CD Badajoz,1:0
LaLiga2,,Real Murcia,CD Numancia,1:2
LaLiga2,,Elche CF,Albacete,1:0
LaLiga2,,,,
LaLiga2,Sat10/20/01,Racing Ferrol,Real Jaén CF,0:1
LaLiga2,,CD Leganés,Burgos CF,0:0
LaLiga2,,Córdoba CF,Elche CF,3:0
LaLiga2,Sun10/21/01,CD Numancia,Atlético Madrid,1:2
LaLiga2,,SD Eibar,Xerez CD,2:0
LaLiga2,,CD Badajoz,Poli Ejido,0:1
LaLiga2,,UD Salamanca,Extremadura,0:0
LaLiga2,,Levante,Racing,1:1
LaLiga2,,Recr. Huelva,Real Oviedo,0:2
LaLiga2,,Sporting Gijón,Gimnàstic,1:1
LaLiga2,,Albacete,Real Murcia,1:0
LaLiga2,,,,
LaLiga2,Sat10/27/01,Xerez CD,Elche CF,2:0
LaLiga2,,Atlético Madrid,Albacete,3:2
LaLiga2,,SD Eibar,Racing Ferrol,2:0
LaLiga2,,Poli Ejido,CD Numancia,3:4
LaLiga2,Sun10/28/01,Real Oviedo,Sporting Gijón,0:2
LaLiga2,,Real Murcia,Córdoba CF,1:0
LaLiga2,,Extremadura,Recr. Huelva,0:3
LaLiga2,,Real Jaén CF,CD Leganés,1:0
LaLiga2,,Burgos CF,Levante,0:1
LaLiga2,,Racing,UD Salamanca,2:0
LaLiga2,,Gimnàstic,CD Badajoz,1:1
LaLiga2,,,,
LaLiga2,Sat11/3/01,CD Leganés,SD Eibar,1:0
LaLiga2,,Recr. Huelva,Racing,1:1
LaLiga2,,Córdoba CF,Atlético Madrid,0:2
LaLiga2,,CD Numancia,Gimnàstic,0:0
LaLiga2,,Sporting Gijón,Extremadura,1:1
LaLiga2,,Albacete,Poli Ejido,2:1
LaLiga2,Sun11/4/01,Racing Ferrol,Xerez CD,2:2
LaLiga2,,Levante,Real Jaén CF,0:1
LaLiga2,,UD Salamanca,Burgos CF,0:1
LaLiga2,,CD Badajoz,Real Oviedo,1:0
LaLiga2,,Elche CF,Real Murcia,1:1
LaLiga2,,,,
LaLiga2,Tue11/6/01,Poli Ejido,Córdoba CF,1:1
LaLiga2,Wed11/7/01,SD Eibar,Levante,7:0
LaLiga2,,Burgos CF,Recr. Huelva,1:3
LaLiga2,,Real Oviedo,CD Numancia,0:0
LaLiga2,,Gimnàstic,Albacete,0:1
LaLiga2,,Racing,Sporting Gijón,2:1
LaLiga2,,Real Jaén CF,UD Salamanca,0:1
LaLiga2,,Extremadura,CD Badajoz,0:4
LaLiga2,,Atlético Madrid,Elche CF,4:0
LaLiga2,,Xerez CD,Real Murcia,3:1
LaLiga2,Thu11/8/01,Racing Ferrol,CD Leganés,3:0
LaLiga2,,,,
LaLiga2,Sat11/10/01,Sporting Gijón,Burgos CF,0:1
LaLiga2,Sun11/11/01,CD Leganés,Xerez CD,0:1
LaLiga2,,Levante,Racing Ferrol,3:1
LaLiga2,,UD Salamanca,SD Eibar,1:0
LaLiga2,,Recr. Huelva,Real Jaén CF,0:3
LaLiga2,,CD Badajoz,Racing,3:2
LaLiga2,,CD Numancia,Extremadura,0:0
LaLiga2,,Albacete,Real Oviedo,1:1
LaLiga2,,Córdoba CF,Gimnàstic,1:1
LaLiga2,,Elche CF,Poli Ejido,2:0
LaLiga2,,Real Murcia,Atlético Madrid,3:1
LaLiga2,,,,
LaLiga2,Sat11/17/01,Real Jaén CF,Sporting Gijón,3:3
LaLiga2,,Racing,CD Numancia,4:0
LaLiga2,Sun11/18/01,CD Leganés,Levante,2:1
LaLiga2,,Xerez CD,Atlético Madrid,0:1
LaLiga2,,Racing Ferrol,UD Salamanca,3:1
LaLiga2,,SD Eibar,Recr. Huelva,1:1
LaLiga2,,Burgos CF,CD Badajoz,0:1
LaLiga2,,Extremadura,Albacete,0:0
LaLiga2,,Real Oviedo,Córdoba CF,3:1
LaLiga2,,Gimnàstic,Elche CF,1:2
LaLiga2,,Poli Ejido,Real Murcia,0:0
LaLiga2,,,,
LaLiga2,Sat11/24/01,Córdoba CF,Extremadura,2:0
LaLiga2,,Atlético Madrid,Poli Ejido,1:0
LaLiga2,,Recr. Huelva,Racing Ferrol,1:0
LaLiga2,,Elche CF,Real Oviedo,2:0
LaLiga2,Sun11/25/01,Levante,Xerez CD,0:1
LaLiga2,,UD Salamanca,CD Leganés,1:0
LaLiga2,,Sporting Gijón,SD Eibar,1:0
LaLiga2,,CD Badajoz,Real Jaén CF,1:0
LaLiga2,,CD Numancia,Burgos CF,1:5
LaLiga2,,Albacete,Racing,0:1
LaLiga2,,Real Murcia,Gimnàstic,0:2
LaLiga2,,,,
LaLiga2,Sat12/1/01,Xerez CD,Poli Ejido,2:1
LaLiga2,,Real Jaén CF,CD Numancia,1:2
LaLiga2,Sun12/2/01,CD Leganés,Recr. Huelva,0:0
LaLiga2,,Burgos CF,Albacete,0:0
LaLiga2,,Levante,UD Salamanca,2:2
LaLiga2,,Racing Ferrol,Sporting Gijón,1:2
LaLiga2,,SD Eibar,CD Badajoz,0:1
LaLiga2,,Racing,Córdoba CF,2:0
LaLiga2,,Extremadura,Elche CF,1:0
LaLiga2,,Real Oviedo,Real Murcia,2:0
LaLiga2,,Gimnàstic,Atlético Madrid,1:2
LaLiga2,,,,
LaLiga2,Sat12/8/01,Córdoba CF,Burgos CF,1:1
LaLiga2,,Elche CF,Racing,1:1
LaLiga2,Sun12/9/01,Atlético Madrid,Real Oviedo,0:0
LaLiga2,,UD Salamanca,Xerez CD,1:1
LaLiga2,,Recr. Huelva,Levante,0:0
LaLiga2,,Sporting Gijón,CD Leganés,1:1
LaLiga2,,CD Badajoz,Racing Ferrol,2:1
LaLiga2,,CD Numancia,SD Eibar,1:1
LaLiga2,,Albacete,Real Jaén CF,4:0
LaLiga2,,Real Murcia,Extremadura,2:1
LaLiga2,,Poli Ejido,Gimnàstic,1:0
LaLiga2,,,,
LaLiga2,Sat12/15/01,Levante,Sporting Gijón,4:3
LaLiga2,,Xerez CD,Gimnàstic,2:1
LaLiga2,Sun12/16/01,CD Leganés,CD Badajoz,1:0
LaLiga2,,Racing,Real Murcia,1:0
LaLiga2,,UD Salamanca,Recr. Huelva,2:3
LaLiga2,,Racing Ferrol,CD Numancia,2:1
LaLiga2,,SD Eibar,Albacete,1:0
LaLiga2,,Real Jaén CF,Córdoba CF,1:2
LaLiga2,,Burgos CF,Elche CF,0:0
LaLiga2,,Extremadura,Atlético Madrid,2:0
LaLiga2,,Real Oviedo,Poli Ejido,1:1
LaLiga2,,,,
LaLiga2,Sat12/22/01,Elche CF,Real Jaén CF,1:3
LaLiga2,,CD Numancia,CD Leganés,1:0
LaLiga2,,Real Murcia,Burgos CF,1:2
LaLiga2,,Albacete,Racing Ferrol,2:1
LaLiga2,,Atlético Madrid,Racing,2:0
LaLiga2,,Poli Ejido,Extremadura,0:0
LaLiga2,Sun12/23/01,Xerez CD,Recr. Huelva,0:0
LaLiga2,,Sporting Gijón,UD Salamanca,1:1
LaLiga2,,CD Badajoz,Levante,2:2
LaLiga2,,Córdoba CF,SD Eibar,0:2
LaLiga2,,Gimnàstic,Real Oviedo,1:0
LaLiga2,,,,
LaLiga2,Sat1/5/02,Racing,Poli Ejido,2:1
LaLiga2,,Real Oviedo,Xerez CD,1:0
LaLiga2,Sun1/6/02,CD Leganés,Albacete,1:2
LaLiga2,,Burgos CF,Atlético Madrid,0:4
LaLiga2,,Recr. Huelva,Sporting Gijón,0:0
LaLiga2,,UD Salamanca,CD Badajoz,2:2
LaLiga2,,Levante,CD Numancia,0:1
LaLiga2,,Racing Ferrol,Córdoba CF,1:3
LaLiga2,,SD Eibar,Elche CF,3:1
LaLiga2,,Real Jaén CF,Real Murcia,0:0
LaLiga2,,Extremadura,Gimnàstic,1:0
LaLiga2,,,,
LaLiga2,Sat1/12/02,Racing Ferrol,Elche CF,1:0
LaLiga2,,Recr. Huelva,CD Badajoz,2:0
LaLiga2,Sun1/13/02,Extremadura,Real Oviedo,1:1
LaLiga2,,CD Leganés,Córdoba CF,1:1
LaLiga2,,Racing,Gimnàstic,3:0
LaLiga2,,Burgos CF,Poli Ejido,2:0
LaLiga2,,Real Jaén CF,Atlético Madrid,1:0
LaLiga2,,SD Eibar,Real Murcia,0:1
LaLiga2,,Levante,Albacete,1:1
LaLiga2,,UD Salamanca,CD Numancia,2:0
LaLiga2,,Sporting Gijón,Xerez CD,0:1
LaLiga2,,,,
LaLiga2,Sat1/19/02,Atlético Madrid,SD Eibar,1:0
LaLiga2,,Xerez CD,Extremadura,1:2
LaLiga2,,Gimnàstic,Burgos CF,0:0
LaLiga2,Sun1/20/02,Real Oviedo,Racing,0:0
LaLiga2,,Poli Ejido,Real Jaén CF,1:0
LaLiga2,,Real Murcia,Racing Ferrol,1:2
LaLiga2,,Elche CF,CD Leganés,1:0
LaLiga2,,Córdoba CF,Levante,3:1
LaLiga2,,Albacete,UD Salamanca,0:1
LaLiga2,,CD Numancia,Recr. Huelva,0:0
LaLiga2,,CD Badajoz,Sporting Gijón,1:2
LaLiga2,,,,
LaLiga2,Sat1/26/02,Racing Ferrol,Atlético Madrid,1:1
LaLiga2,,Levante,Elche CF,1:1
LaLiga2,Sun1/27/02,CD Leganés,Real Murcia,0:0
LaLiga2,,Recr. Huelva,Albacete,3:1
LaLiga2,,Racing,Extremadura,1:1
LaLiga2,,Burgos CF,Real Oviedo,1:1
LaLiga2,,Real Jaén CF,Gimnàstic,0:1
LaLiga2,,SD Eibar,Poli Ejido,4:2
LaLiga2,,UD Salamanca,Córdoba CF,0:0
LaLiga2,,Sporting Gijón,CD Numancia,2:1
LaLiga2,,CD Badajoz,Xerez CD,1:0
LaLiga2,,,,
LaLiga2,Sat2/2/02,Elche CF,UD Salamanca,4:1
LaLiga2,,Atlético Madrid,CD Leganés,0:2
LaLiga2,,Córdoba CF,Recr. Huelva,0:0
LaLiga2,,Extremadura,Burgos CF,2:0
LaLiga2,,CD Numancia,CD Badajoz,1:2
LaLiga2,,Real Oviedo,Real Jaén CF,0:0
LaLiga2,,Real Murcia,Levante,0:1
LaLiga2,Sun2/3/02,Xerez CD,Racing,2:1
LaLiga2,,Gimnàstic,SD Eibar,1:0
LaLiga2,,Poli Ejido,Racing Ferrol,3:0
LaLiga2,,Albacete,Sporting Gijón,1:2
LaLiga2,,,,
LaLiga2,Wed2/6/02,Burgos CF,Racing,0:0
LaLiga2,,SD Eibar,Real Oviedo,1:1
LaLiga2,,Racing Ferrol,Gimnàstic,1:2
LaLiga2,,CD Leganés,Poli Ejido,2:0
LaLiga2,,CD Numancia,Xerez CD,1:1
LaLiga2,,UD Salamanca,Real Murcia,0:0
LaLiga2,,Sporting Gijón,Córdoba CF,3:0
LaLiga2,,Real Jaén CF,Extremadura,1:0
LaLiga2,,Recr. Huelva,Elche CF,1:0
LaLiga2,,CD Badajoz,Albacete,2:3
LaLiga2,Thu2/7/02,Levante,Atlético Madrid,2:4
LaLiga2,,,,
LaLiga2,Sat2/9/02,Racing,Real Jaén CF,2:0
LaLiga2,,Real Oviedo,Racing Ferrol,2:1
LaLiga2,Sun2/10/02,Elche CF,Sporting Gijón,1:0
LaLiga2,,Xerez CD,Burgos CF,1:0
LaLiga2,,Extremadura,SD Eibar,0:1
LaLiga2,,Gimnàstic,CD Leganés,0:1
LaLiga2,,Poli Ejido,Levante,1:0
LaLiga2,,Atlético Madrid,UD Salamanca,2:1
LaLiga2,,Real Murcia,Recr. Huelva,2:0
LaLiga2,,Córdoba CF,CD Badajoz,1:2
LaLiga2,,Albacete,CD Numancia,3:1
LaLiga2,,,,
LaLiga2,Sat2/16/02,Recr. Huelva,Atlético Madrid,1:3
LaLiga2,,Real Jaén CF,Burgos CF,0:0
LaLiga2,,CD Leganés,Real Oviedo,1:3
LaLiga2,,Levante,Gimnàstic,2:2
LaLiga2,Sun2/17/02,SD Eibar,Racing,2:2
LaLiga2,,Racing Ferrol,Extremadura,2:0
LaLiga2,,UD Salamanca,Poli Ejido,0:2
LaLiga2,,Sporting Gijón,Real Murcia,0:1
LaLiga2,,CD Badajoz,Elche CF,1:3
LaLiga2,,CD Numancia,Córdoba CF,0:2
LaLiga2,,Albacete,Xerez CD,3:0
LaLiga2,,,,
LaLiga2,Sat2/23/02,Burgos CF,SD Eibar,0:0
LaLiga2,,Poli Ejido,Recr. Huelva,0:0
LaLiga2,Sun2/24/02,Atlético Madrid,Sporting Gijón,0:1
LaLiga2,,Xerez CD,Real Jaén CF,1:0
LaLiga2,,Racing,Racing Ferrol,0:1
LaLiga2,,Extremadura,CD Leganés,2:1
LaLiga2,,Real Oviedo,Levante,1:1
LaLiga2,,Gimnàstic,UD Salamanca,2:2
LaLiga2,,Elche CF,CD Numancia,1:1
LaLiga2,,Córdoba CF,Albacete,3:1
LaLiga2,,Real Murcia,CD Badajoz,1:1
LaLiga2,,,,
LaLiga2,Sat3/2/02,CD Leganés,Racing,1:4
LaLiga2,,Recr. Huelva,Gimnàstic,1:0
LaLiga2,Sun3/3/02,Córdoba CF,Xerez CD,0:0
LaLiga2,,SD Eibar,Real Jaén CF,1:1
LaLiga2,,Racing Ferrol,Burgos CF,3:0
LaLiga2,,Levante,Extremadura,1:0
LaLiga2,,UD Salamanca,Real Oviedo,3:0
LaLiga2,,Sporting Gijón,Poli Ejido,1:1
LaLiga2,,CD Badajoz,Atlético Madrid,0:1
LaLiga2,,CD Numancia,Real Murcia,1:0
LaLiga2,,Albacete,Elche CF,0:2
LaLiga2,,,,
LaLiga2,Sat3/9/02,Atlético Madrid,CD Numancia,2:2
LaLiga2,Sun3/10/02,Gimnàstic,Sporting Gijón,1:1
LaLiga2,,Real Jaén CF,Racing Ferrol,1:4
LaLiga2,,Burgos CF,CD Leganés,0:0
LaLiga2,,Racing,Levante,4:2
LaLiga2,,Extremadura,UD Salamanca,0:1
LaLiga2,,Real Oviedo,Recr. Huelva,1:1
LaLiga2,,Poli Ejido,CD Badajoz,1:0
LaLiga2,,Real Murcia,Albacete,0:0
LaLiga2,,Elche CF,Córdoba CF,2:3
LaLiga2,,Xerez CD,SD Eibar,1:0
LaLiga2,,,,
LaLiga2,Sat3/16/02,Albacete,Atlético Madrid,2:1
LaLiga2,Sun3/17/02,CD Leganés,Real Jaén CF,2:0
LaLiga2,,Levante,Burgos CF,0:0
LaLiga2,,Recr. Huelva,Extremadura,3:2
LaLiga2,,Racing Ferrol,SD Eibar,1:1
LaLiga2,,UD Salamanca,Racing,1:2
LaLiga2,,Sporting Gijón,Real Oviedo,0:0
LaLiga2,,CD Badajoz,Gimnàstic,2:1
LaLiga2,,CD Numancia,Poli Ejido,3:0
LaLiga2,,Córdoba CF,Real Murcia,2:1
LaLiga2,,Elche CF,Xerez CD,4:0
LaLiga2,,,,
LaLiga2,Sat3/23/02,Atlético Madrid,Córdoba CF,0:0
LaLiga2,,Xerez CD,Racing Ferrol,2:1
LaLiga2,,SD Eibar,CD Leganés,0:0
LaLiga2,,Gimnàstic,CD Numancia,3:1
LaLiga2,Sun3/24/02,Racing,Recr. Huelva,1:5
LaLiga2,,Real Jaén CF,Levante,0:1
LaLiga2,,Burgos CF,UD Salamanca,0:0
LaLiga2,,Extremadura,Sporting Gijón,1:2
LaLiga2,,Real Oviedo,CD Badajoz,1:0
LaLiga2,,Poli Ejido,Albacete,2:0
LaLiga2,,Real Murcia,Elche CF,2:1
LaLiga2,,,,
LaLiga2,Sat3/30/02,Elche CF,Atlético Madrid,5:1
LaLiga2,,CD Numancia,Real Oviedo,1:2
LaLiga2,,CD Leganés,Racing Ferrol,2:2
LaLiga2,,Albacete,Gimnàstic,1:0
LaLiga2,,Córdoba CF,Poli Ejido,0:1
LaLiga2,Sun3/31/02,Real Murcia,Xerez CD,0:0
LaLiga2,,Levante,SD Eibar,0:0
LaLiga2,,UD Salamanca,Real Jaén CF,0:1
LaLiga2,,Sporting Gijón,Racing,1:1
LaLiga2,,CD Badajoz,Extremadura,2:2
LaLiga2,,Recr. Huelva,Burgos CF,0:1
LaLiga2,,,,
LaLiga2,Sat4/6/02,Atlético Madrid,Real Murcia,4:2
LaLiga2,,Xerez CD,CD Leganés,3:3
LaLiga2,Sun4/7/02,Real Jaén CF,Recr. Huelva,1:1
LaLiga2,,Racing Ferrol,Levante,1:2
LaLiga2,,SD Eibar,UD Salamanca,0:1
LaLiga2,,Burgos CF,Sporting Gijón,0:0
LaLiga2,,Racing,CD Badajoz,3:0
LaLiga2,,Extremadura,CD Numancia,0:2
LaLiga2,,Real Oviedo,Albacete,0:0
LaLiga2,,Gimnàstic,Córdoba CF,1:0
LaLiga2,,Poli Ejido,Elche CF,0:0
LaLiga2,,,,
LaLiga2,Sat4/13/02,Levante,CD Leganés,1:2
LaLiga2,,Recr. Huelva,SD Eibar,1:0
LaLiga2,Sun4/14/02,Atlético Madrid,Xerez CD,0:0
LaLiga2,,Sporting Gijón,Real Jaén CF,3:2
LaLiga2,,UD Salamanca,Racing Ferrol,3:1
LaLiga2,,CD Badajoz,Burgos CF,2:3
LaLiga2,,CD Numancia,Racing,0:1
LaLiga2,,Albacete,Extremadura,1:1
LaLiga2,,Córdoba CF,Real Oviedo,0:1
LaLiga2,,Elche CF,Gimnàstic,1:0
LaLiga2,,Real Murcia,Poli Ejido,0:1
LaLiga2,,,,
LaLiga2,Sat4/20/02,Poli Ejido,Atlético Madrid,1:2
LaLiga2,,Xerez CD,Levante,0:1
LaLiga2,Sun4/21/02,CD Leganés,UD Salamanca,3:1
LaLiga2,,Racing,Albacete,3:1
LaLiga2,,Real Oviedo,Elche CF,3:6
LaLiga2,,Racing Ferrol,Recr. Huelva,1:1
LaLiga2,,SD Eibar,Sporting Gijón,2:0
LaLiga2,,Real Jaén CF,CD Badajoz,0:1
LaLiga2,,Burgos CF,CD Numancia,1:1
LaLiga2,,Extremadura,Córdoba CF,3:2
LaLiga2,,Gimnàstic,Real Murcia,1:1
LaLiga2,,,,
LaLiga2,Sat4/27/02,Elche CF,Extremadura,0:0
LaLiga2,,Atlético Madrid,Gimnàstic,3:3
LaLiga2,,Poli Ejido,Xerez CD,1:1
LaLiga2,Sun4/28/02,Córdoba CF,Racing,0:4
LaLiga2,,UD Salamanca,Levante,0:1
LaLiga2,,Recr. Huelva,CD Leganés,1:2
LaLiga2,,Sporting Gijón,Racing Ferrol,5:3
LaLiga2,,CD Badajoz,SD Eibar,0:1
LaLiga2,,CD Numancia,Real Jaén CF,1:0
LaLiga2,,Albacete,Burgos CF,2:1
LaLiga2,,Real Murcia,Real Oviedo,1:1
LaLiga2,,,,
LaLiga2,Sat5/4/02,CD Leganés,Sporting Gijón,0:2
LaLiga2,,SD Eibar,CD Numancia,2:0
LaLiga2,,Gimnàstic,Poli Ejido,2:2
LaLiga2,,Xerez CD,UD Salamanca,0:2
LaLiga2,,Real Jaén CF,Albacete,1:0
LaLiga2,,Racing Ferrol,CD Badajoz,1:0
LaLiga2,,Extremadura,Real Murcia,0:2
LaLiga2,Sun5/5/02,Real Oviedo,Atlético Madrid,2:3
LaLiga2,,Levante,Recr. Huelva,0:1
LaLiga2,,Burgos CF,Córdoba CF,0:1
LaLiga2,,Racing,Elche CF,0:0
LaLiga2,,,,
LaLiga2,Sat5/11/02,Sporting Gijón,Levante,0:1
LaLiga2,,Córdoba CF,Real Jaén CF,2:1
LaLiga2,,Gimnàstic,Xerez CD,2:1
LaLiga2,,Recr. Huelva,UD Salamanca,2:0
LaLiga2,,Atlético Madrid,Extremadura,3:2
LaLiga2,Sun5/12/02,Albacete,SD Eibar,0:0
LaLiga2,,CD Badajoz,CD Leganés,3:2
LaLiga2,,CD Numancia,Racing Ferrol,4:0
LaLiga2,,Elche CF,Burgos CF,2:0
LaLiga2,,Poli Ejido,Real Oviedo,3:0
LaLiga2,,Real Murcia,Racing,0:0
LaLiga2,,,,
LaLiga2,Sat5/18/02,Racing Ferrol,Albacete,2:0
LaLiga2,Sun5/19/02,UD Salamanca,Sporting Gijón,1:2
LaLiga2,,SD Eibar,Córdoba CF,2:1
LaLiga2,,Recr. Huelva,Xerez CD,2:1
LaLiga2,,Levante,CD Badajoz,0:1
LaLiga2,,CD Leganés,CD Numancia,0:1
LaLiga2,,Real Jaén CF,Elche CF,0:1
LaLiga2,,Burgos CF,Real Murcia,0:1
LaLiga2,,Racing,Atlético Madrid,1:0
LaLiga2,,Extremadura,Poli Ejido,1:1
LaLiga2,,Real Oviedo,Gimnàstic,0:2
