League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol 1. Lig,22.09.2001 16:30,İZMİRSPOR,BATMAN PETROLSPOR,3,0
Trendyol 1. Lig,22.09.2001 16:30,BÜYÜKŞEHİR BLD.SPOR,KOMBASSAN KONYASPOR,1,1
Trendyol 1. Lig,23.09.2001 15:30,A.SEBATSPOR,ELAZIĞSPOR,1,1
Trendyol 1. Lig,23.09.2001 15:30,SİİRT JETPA SPOR,AYDINSPOR,7,2
Trendyol 1. Lig,23.09.2001 16:00,B.B. ANKARASPOR,SAKARYASPOR A.Ş.,0,0
Trendyol 1. Lig,23.09.2001 16:00,SİVASSPOR,ALTAY,3,4
Trendyol 1. Lig,23.09.2001 16:00,HATAYSPOR,ŞEKERSPOR,2,0
Trendyol 1. Lig,23.09.2001 19:00,KAYSERİSPOR,DARDANELSPOR A.Ş.,1,0
Trendyol 1. Lig,23.09.2001 19:00,ADANASPOR A.Ş.,ERCİYESSPOR,7,1
Trendyol 1. Lig,23.09.2001 19:00,ERZURUMSPOR,GÜMÜŞHANE DOĞANSPOR,2,1
Trendyol 1. Lig,29.09.2001 15:30,ALTAY,HATAYSPOR,1,1
Trendyol 1. Lig,29.09.2001 19:00,ERCİYESSPOR,SİVASSPOR,2,2
Trendyol 1. Lig,30.09.2001 14:00,ELAZIĞSPOR,B.B. ANKARASPOR,2,1
Trendyol 1. Lig,30.09.2001 14:00,GÜMÜŞHANE DOĞANSPOR,BÜYÜKŞEHİR BLD.SPOR,2,2
Trendyol 1. Lig,30.09.2001 15:00,ŞEKERSPOR,ERZURUMSPOR,1,0
Trendyol 1. Lig,30.09.2001 15:30,DARDANELSPOR A.Ş.,SİİRT JETPA SPOR,3,3
Trendyol 1. Lig,30.09.2001 15:30,SAKARYASPOR A.Ş.,İZMİRSPOR,2,3
Trendyol 1. Lig,30.09.2001 15:30,AYDINSPOR,ADANASPOR A.Ş.,1,3
Trendyol 1. Lig,30.09.2001 19:00,KAYSERİSPOR,BATMAN PETROLSPOR,1,1
Trendyol 1. Lig,30.09.2001 19:00,KOMBASSAN KONYASPOR,A.SEBATSPOR,1,1
Trendyol 1. Lig,07.10.2001 14:00,SİİRT JETPA SPOR,BATMAN PETROLSPOR,3,1
Trendyol 1. Lig,07.10.2001 14:00,ERZURUMSPOR,ALTAY,1,4
Trendyol 1. Lig,07.10.2001 14:00,GÜMÜŞHANE DOĞANSPOR,KOMBASSAN KONYASPOR,0,1
Trendyol 1. Lig,07.10.2001 15:00,B.B. ANKARASPOR,A.SEBATSPOR,4,1
Trendyol 1. Lig,07.10.2001 15:00,KAYSERİSPOR,SAKARYASPOR A.Ş.,0,4
