League,Date,Home Team,Away Team,Home Score,Away Score
Bundesliga,February 2001,1860 Munich,Hansa Rostock,2,1
Bundesliga,February 2001,Borussia Dortmund,Unterhaching,3,0
Bundesliga,February 2001,Eintracht Frankfurt,Wolfsburg,1,2
Bundesliga,February 2001,Energie Cottbus,Hansa Rostock,1,0
Bundesliga,February 2001,Cologne,1860 Munich,4,0
Bundesliga,February 2001,Bayern Munich,Bayer Leverkusen,2,0
Bundesliga,February 2001,1860 Munich,Unterhaching,0,2
Bundesliga,February 2001,Eintracht Frankfurt,Hertha Berlin,0,4
Bundesliga,February 2001,Energie Cottbus,Cologne,0,2
Bundesliga,February 2001,Borussia Dortmund,Wolfsburg,2,1
Bundesliga,February 2001,Unterhaching,Energie Cottbus,2,1
Bundesliga,February 2001,Cologne,Hansa Rostock,5,2
Bundesliga,February 2001,Bayern Munich,Eintracht Frankfurt,1,2
Bundesliga,February 2001,Wolfsburg,Werder Bremen,1,1
Bundesliga,February 2001,1860 Munich,Wolfsburg,2,2
Bundesliga,February 2001,Hansa Rostock,Unterhaching,2,2
Bundesliga,February 2001,Borussia Dortmund,Hertha Berlin,2,0
Bundesliga,February 2001,Unterhaching,Cologne,0,0
Bundesliga,February 2001,Wolfsburg,Energie Cottbus,1,1
Bundesliga,February 2001,Hertha Berlin,Werder Bremen,4,1
Bundesliga,February 2001,Bayern Munich,Borussia Dortmund,6,2
Bundesliga,February 2001,Bayer Leverkusen,Eintracht Frankfurt,1,0
Bundesliga,February 2001,1860 Munich,Hertha Berlin,0,1
Bundesliga,February 2001,Hansa Rostock,Wolfsburg,1,1
Bundesliga,February 2001,Werder Bremen,Bayern Munich,1,1
Bundesliga,February 2001,Hertha Berlin,Energie Cottbus,3,1
Bundesliga,February 2001,Bayern Munich,1860 Munich,3,1
Bundesliga,February 2001,Wolfsburg,Cologne,6,0
Bundesliga,February 2001,Bayer Leverkusen,Borussia Dortmund,2,0
Bundesliga,February 2001,Hansa Rostock,Hertha Berlin,0,2
Bundesliga,February 2001,Unterhaching,Wolfsburg,0,3
Bundesliga,February 2001,Energie Cottbus,Bayern Munich,1,0
Bundesliga,February 2001,Werder Bremen,Bayer Leverkusen,3,3
