Home Team,Score,Away Team
KARACABEY BELEDİYE SPOR A.Ş.,1 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
TUNA TARIM KIRKLARELİSPOR,1 - 0,NAZİLLİ BELEDİYESPOR
SERİK BELEDİYESPOR,2 - 0,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
1461 TRABZON FK,1 - 0,KARACABEY BELEDİYE SPOR A.Ş.
ESENLER EROKSPOR,3 - 2,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 3,ANKARA DEMİRSPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 0,ALTINORDU
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 2,ANKARASPOR
BUCASPOR 1928,3 - 0,BURSASPOR
HES İLAÇ AFYONSPOR KULÜBÜ,0 - 1,VEFA GROUP VAN SPOR FK
VEFA GROUP VAN SPOR FK,2 - 1,DİYARBEKİR SPOR A.Ş.
ANKARASPOR,2 - 2,1461 TRABZON FK
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
KARACABEY BELEDİYE SPOR A.Ş.,0 - 2,ESENLER EROKSPOR
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,1 - 0,KIRŞEHİR FUTBOL SPOR KULÜBÜ
BURSASPOR,1 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
ALTINORDU,4 - 0,TUNA TARIM KIRKLARELİSPOR
ANKARA DEMİRSPOR,1 - 0,SERİK BELEDİYESPOR
NAZİLLİ BELEDİYESPOR,0 - 3,ZONGULDAK KÖMÜRSPOR A.Ş
1461 TRABZON FK,0 - 2,NAZİLLİ BELEDİYESPOR
TUNA TARIM KIRKLARELİSPOR,2 - 1,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 0,KARACABEY BELEDİYE SPOR A.Ş.
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,2 - 2,BUCASPOR 1928
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 4,ANKARA DEMİRSPOR
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 3,ALTINORDU
DİYARBEKİR SPOR A.Ş.,0 - 2,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ESENLER EROKSPOR,1 - 2,ANKARASPOR
SERİK BELEDİYESPOR,1 - 2,BURSASPOR
ANKARASPOR,0 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
ALTINORDU,2 - 2,1461 TRABZON FK
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,3 - 0,VEFA GROUP VAN SPOR FK
KARACABEY BELEDİYE SPOR A.Ş.,1 - 1,DİYARBEKİR SPOR A.Ş.
NAZİLLİ BELEDİYESPOR,1 - 5,ESENLER EROKSPOR
BURSASPOR,1 - 3,KIRŞEHİR FUTBOL SPOR KULÜBÜ
ANKARA DEMİRSPOR,0 - 0,TUNA TARIM KIRKLARELİSPOR
BUCASPOR 1928,2 - 0,SERİK BELEDİYESPOR
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,4 - 1,ZONGULDAK KÖMÜRSPOR A.Ş
ESENLER EROKSPOR,1 - 0,ALTINORDU
SERİK BELEDİYESPOR,0 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
