Home Team,Score,Away Team
1461 TRABZON FK,3 - 0,BUCASPOR 1928
KIRKLARELİSPOR FUTBOL A.Ş,3 - 0,SERİK BELEDİYESPOR
HES İLAÇ AFYONSPOR KULÜBÜ,3 - 0,ANKARA DEMİRSPOR
ZONGULDAK KÖMÜRSPOR A.Ş,4 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
ACNTURK SİGORTA VAN SPOR FK,2 - 1,ALTINORDU
BUCASPOR 1928,1 - 2,ESENLER EROKSPOR
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,0 - 2,ACNTURK SİGORTA VAN SPOR FK
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,2 - 2,1461 TRABZON FK
ANKARA DEMİRSPOR,2 - 1,DİYARBEKİR SPOR A.Ş.
BURSASPOR,0 - 3,HES İLAÇ AFYONSPOR KULÜBÜ
KIRŞEHİR FUTBOL SPOR KULÜBÜ,3 - 3,KIRKLARELİSPOR FUTBOL A.Ş
NAZİLLİ BELEDİYESPOR,1 - 3,KARACABEY BELEDİYE SPOR A.Ş.
ALTINORDU,2 - 0,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
SERİK BELEDİYESPOR,1 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
ANKARASPOR,0 - 0,NAZİLLİ BELEDİYESPOR
TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 2,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
HES İLAÇ AFYONSPOR KULÜBÜ,0 - 0,BUCASPOR 1928
1461 TRABZON FK,2 - 0,SERİK BELEDİYESPOR
ACNTURK SİGORTA VAN SPOR FK,6 - 1,ANKARA DEMİRSPOR
ESENLER EROKSPOR,1 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
KARACABEY BELEDİYE SPOR A.Ş.,2 - 2,ALTINORDU
ZONGULDAK KÖMÜRSPOR A.Ş,3 - 2,KIRŞEHİR FUTBOL SPOR KULÜBÜ
DİYARBEKİR SPOR A.Ş.,2 - 1,BURSASPOR
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,4 - 1,HES İLAÇ AFYONSPOR KULÜBÜ
BURSASPOR,3 - 0,ACNTURK SİGORTA VAN SPOR FK
BUCASPOR 1928,3 - 1,DİYARBEKİR SPOR A.Ş.
SERİK BELEDİYESPOR,0 - 6,ESENLER EROKSPOR
ALTINORDU,3 - 3,ANKARASPOR
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,3 - 1,KARACABEY BELEDİYE SPOR A.Ş.
ANKARA DEMİRSPOR,5 - 2,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
KIRKLARELİSPOR FUTBOL A.Ş,1 - 3,ZONGULDAK KÖMÜRSPOR A.Ş
KIRŞEHİR FUTBOL SPOR KULÜBÜ,4 - 5,1461 TRABZON FK
AMED SPORTİF FAALİYETLER,2 - 0,DENİZLİSPOR
UŞAK SPOR A.Ş.,1 - 2,DÜZCESPOR
ANAGOLD 24ERZİNCANSPOR,1 - 0,İNEGÖLSPOR
ISPARTA 32 SPOR,1 - 2,SOMASPOR
ETİMESGUT BELEDİYESPOR,1 - 2,GMG KASTAMONUSPOR
İSKENDERUNSPOR A.Ş.,0 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
KARAMAN FUTBOL KULÜBÜ,0 - 1,MENEMEN FUTBOL KULÜBÜ
BELEDİYE DERİNCE SPOR,1 - 0,SARIYER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,0 - 1,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
SARIYER,1 - 1,AMED SPORTİF FAALİYETLER
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 0,UŞAK SPOR A.Ş.
SOMASPOR,1 - 0,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
GMG KASTAMONUSPOR,2 - 0,ANAGOLD 24ERZİNCANSPOR
DÜZCESPOR,2 - 1,BELEDİYE DERİNCE SPOR
DENİZLİSPOR,1 - 1,KARAMAN FUTBOL KULÜBÜ
MENEMEN FUTBOL KULÜBÜ,0 - 1,ISPARTA 32 SPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,0 - 0,ETİMESGUT BELEDİYESPOR
İNEGÖLSPOR,0 - 0,FETHİYESPOR
ISPARTA 32 SPOR,2 - 1,DENİZLİSPOR
AMED SPORTİF FAALİYETLER,2 - 0,DÜZCE CAM DÜZCESPOR
ETİMESGUT BELEDİYESPOR,0 - 2,SOMASPOR
FETHİYESPOR,0 - 1,GMG KASTAMONUSPOR
UŞAK SPOR A.Ş.,0 - 2,İSKENDERUNSPOR A.Ş.
BELEDİYE DERİNCE SPOR,0 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
KARAMAN FUTBOL KULÜBÜ,2 - 3,SARIYER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,1 - 1,MENEMEN FUTBOL KULÜBÜ
ANAGOLD 24ERZİNCANSPOR,2 - 0,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
SOMASPOR,1 - 1,ANAGOLD 24ERZİNCANSPOR
MENEMEN FUTBOL KULÜBÜ,0 - 2,ETİMESGUT BELEDİYESPOR
SARIYER,1 - 0,ISPARTA 32 SPOR
DÜZCE CAM DÜZCESPOR,1 - 1,KARAMAN FUTBOL KULÜBÜ
GMG KASTAMONUSPOR,2 - 0,İNEGÖLSPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,1 - 1,FETHİYESPOR
İSKENDERUNSPOR A.Ş.,0 - 0,BELEDİYE DERİNCE SPOR
DENİZLİSPOR,3 - 2,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,1 - 2,AMED SPORTİF FAALİYETLER
İNEGÖLSPOR,0 - 2,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
BELEDİYE DERİNCE SPOR,0 - 1,UŞAK SPOR A.Ş.
KARAMAN FUTBOL KULÜBÜ,0 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,3 - 1,SARIYER
ANAGOLD 24ERZİNCANSPOR,0 - 2,MENEMEN FUTBOL KULÜBÜ
AMED SPORTİF FAALİYETLER,1 - 0,İSKENDERUNSPOR A.Ş.
ETİMESGUT BELEDİYESPOR,0 - 2,DENİZLİSPOR
ISPARTA 32 SPOR,3 - 1,DÜZCE CAM DÜZCESPOR
FETHİYESPOR,1 - 1,SOMASPOR
İSKENDERUNSPOR A.Ş.,2 - 0,KARAMAN FUTBOL KULÜBÜ
SARIYER,2 - 1,ETİMESGUT BELEDİYESPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,1 - 2,ISPARTA 32 SPOR
SOMASPOR,3 - 3,İNEGÖLSPOR
MENEMEN FUTBOL KULÜBÜ,2 - 1,FETHİYESPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,0 - 0,GMG KASTAMONUSPOR
DENİZLİSPOR,1 - 1,ANAGOLD 24ERZİNCANSPOR
DÜZCE CAM DÜZCESPOR,2 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
UŞAK SPOR A.Ş.,0 - 4,AMED SPORTİF FAALİYETLER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,0 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
ISPARTA 32 SPOR,2 - 1,İSKENDERUNSPOR A.Ş.
AMED SPORTİF FAALİYETLER,2 - 1,BELEDİYE DERİNCE SPOR
ANAGOLD 24ERZİNCANSPOR,2 - 2,SARIYER
İNEGÖLSPOR,5 - 2,MENEMEN FUTBOL KULÜBÜ
FETHİYESPOR,3 - 1,DENİZLİSPOR
ETİMESGUT BELEDİYESPOR,1 - 0,DÜZCE CAM DÜZCESPOR
GMG KASTAMONUSPOR,1 - 0,SOMASPOR
KARAMAN FUTBOL KULÜBÜ,4 - 0,UŞAK SPOR A.Ş.
SOMASPOR,0 - 2,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
BELEDİYE DERİNCE SPOR,0 - 0,KARAMAN FUTBOL KULÜBÜ
UŞAK SPOR A.Ş.,0 - 2,ISPARTA 32 SPOR
DENİZLİSPOR,2 - 0,İNEGÖLSPOR
SARIYER,2 - 2,FETHİYESPOR
İSKENDERUNSPOR A.Ş.,1 - 0,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
DÜZCE CAM DÜZCESPOR,0 - 6,ANAGOLD 24ERZİNCANSPOR
MENEMEN FUTBOL KULÜBÜ,1 - 1,GMG KASTAMONUSPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,3 - 0,ETİMESGUT BELEDİYESPOR
ETİMESGUT BELEDİYESPOR,0 - 2,İSKENDERUNSPOR A.Ş.
ISPARTA 32 SPOR,1 - 0,BELEDİYE DERİNCE SPOR
ANAGOLD 24ERZİNCANSPOR,1 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 1,MENEMEN FUTBOL KULÜBÜ
GMG KASTAMONUSPOR,2 - 0,DENİZLİSPOR
FETHİYESPOR,2 - 2,DÜZCE CAM DÜZCESPOR
İNEGÖLSPOR,2 - 1,SARIYER
KARAMAN FUTBOL KULÜBÜ,1 - 2,AMED SPORTİF FAALİYETLER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,1 - 0,UŞAK SPOR A.Ş.
DENİZLİSPOR,0 - 2,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
DÜZCE CAM DÜZCESPOR,2 - 3,İNEGÖLSPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,1 - 2,FETHİYESPOR
AMED SPORTİF FAALİYETLER,2 - 1,ISPARTA 32 SPOR
UŞAK SPOR A.Ş.,0 - 1,ETİMESGUT BELEDİYESPOR
MENEMEN FUTBOL KULÜBÜ,0 - 0,SOMASPOR
BELEDİYE DERİNCE SPOR,1 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
İSKENDERUNSPOR A.Ş.,1 - 4,ANAGOLD 24ERZİNCANSPOR
SARIYER,1 - 1,GMG KASTAMONUSPOR
FETHİYESPOR,4 - 3,İSKENDERUNSPOR A.Ş.
ETİMESGUT BELEDİYESPOR,1 - 0,BELEDİYE DERİNCE SPOR
İNEGÖLSPOR,4 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 1,SARIYER
ISPARTA 32 SPOR,2 - 0,KARAMAN FUTBOL KULÜBÜ
SOMASPOR,1 - 0,DENİZLİSPOR
GMG KASTAMONUSPOR,1 - 1,DÜZCE CAM DÜZCESPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,1 - 1,AMED SPORTİF FAALİYETLER
ANAGOLD 24ERZİNCANSPOR,2 - 0,UŞAK SPOR A.Ş.
DÜZCE CAM DÜZCESPOR,0 - 0,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
İSKENDERUNSPOR A.Ş.,3 - 1,İNEGÖLSPOR
UŞAK SPOR A.Ş.,0 - 2,FETHİYESPOR
SARIYER,1 - 2,SOMASPOR
AMED SPORTİF FAALİYETLER,1 - 0,ETİMESGUT BELEDİYESPOR
DENİZLİSPOR,1 - 2,MENEMEN FUTBOL KULÜBÜ
BELEDİYE DERİNCE SPOR,1 - 1,ANAGOLD 24ERZİNCANSPOR
KARAMAN FUTBOL KULÜBÜ,2 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 2,GMG KASTAMONUSPOR
MENEMEN FUTBOL KULÜBÜ,2 - 2,SARIYER
ETİMESGUT BELEDİYESPOR,0 - 0,KARAMAN FUTBOL KULÜBÜ
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,0 - 1,ISPARTA 32 SPOR
SOMASPOR,1 - 1,DÜZCE CAM DÜZCESPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
GMG KASTAMONUSPOR,3 - 4,İSKENDERUNSPOR A.Ş.
FETHİYESPOR,1 - 2,BELEDİYE DERİNCE SPOR
ANAGOLD 24ERZİNCANSPOR,0 - 0,AMED SPORTİF FAALİYETLER
İNEGÖLSPOR,2 - 0,UŞAK SPOR A.Ş.
İSKENDERUNSPOR A.Ş.,2 - 2,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
KARAMAN FUTBOL KULÜBÜ,2 - 0,ANAGOLD 24ERZİNCANSPOR
UŞAK SPOR A.Ş.,2 - 4,GMG KASTAMONUSPOR
DÜZCE CAM DÜZCESPOR,2 - 4,MENEMEN FUTBOL KULÜBÜ
BELEDİYE DERİNCE SPOR,2 - 1,İNEGÖLSPOR
AMED SPORTİF FAALİYETLER,1 - 1,FETHİYESPOR
SARIYER,2 - 0,DENİZLİSPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,2 - 0,SOMASPOR
ISPARTA 32 SPOR,0 - 1,ETİMESGUT BELEDİYESPOR
İNEGÖLSPOR,0 - 0,AMED SPORTİF FAALİYETLER
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 0,UŞAK SPOR A.Ş.
FETHİYESPOR,1 - 1,KARAMAN FUTBOL KULÜBÜ
DENİZLİSPOR,1 - 2,DÜZCE CAM DÜZCESPOR
MENEMEN FUTBOL KULÜBÜ,0 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
ETİMESGUT BELEDİYESPOR,1 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
SOMASPOR,1 - 3,İSKENDERUNSPOR A.Ş.
ANAGOLD 24ERZİNCANSPOR,3 - 0,ISPARTA 32 SPOR
GMG KASTAMONUSPOR,2 - 1,BELEDİYE DERİNCE SPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,0 - 0,ANAGOLD 24ERZİNCANSPOR
İSKENDERUNSPOR A.Ş.,1 - 2,MENEMEN FUTBOL KULÜBÜ
ISPARTA 32 SPOR,3 - 0,FETHİYESPOR
BELEDİYE DERİNCE SPOR,0 - 3,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 1,DENİZLİSPOR
KARAMAN FUTBOL KULÜBÜ,1 - 0,İNEGÖLSPOR
UŞAK SPOR A.Ş.,0 - 1,SOMASPOR
DÜZCE CAM DÜZCESPOR,4 - 2,SARIYER
AMED SPORTİF FAALİYETLER,1 - 2,GMG KASTAMONUSPOR
DENİZLİSPOR,1 - 2,İSKENDERUNSPOR A.Ş.
SOMASPOR,1 - 0,BELEDİYE DERİNCE SPOR
SARIYER,0 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
GMG KASTAMONUSPOR,3 - 2,KARAMAN FUTBOL KULÜBÜ
İNEGÖLSPOR,3 - 1,ISPARTA 32 SPOR
MENEMEN FUTBOL KULÜBÜ,4 - 1,UŞAK SPOR A.Ş.
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,1 - 1,AMED SPORTİF FAALİYETLER
FETHİYESPOR,2 - 0,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
ANAGOLD 24ERZİNCANSPOR,2 - 0,ETİMESGUT BELEDİYESPOR
ISPARTA 32 SPOR,0 - 3,GMG KASTAMONUSPOR
İSKENDERUNSPOR A.Ş.,2 - 1,SARIYER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,3 - 3,İNEGÖLSPOR
ETİMESGUT BELEDİYESPOR,1 - 0,FETHİYESPOR
UŞAK SPOR A.Ş.,2 - 2,DENİZLİSPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 0,DÜZCE CAM DÜZCESPOR
AMED SPORTİF FAALİYETLER,3 - 2,SOMASPOR
BELEDİYE DERİNCE SPOR,2 - 3,MENEMEN FUTBOL KULÜBÜ
KARAMAN FUTBOL KULÜBÜ,1 - 0,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
SARIYER,2 - 1,UŞAK SPOR A.Ş.
İNEGÖLSPOR,1 - 0,ETİMESGUT BELEDİYESPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,4 - 1,ISPARTA 32 SPOR
SOMASPOR,5 - 1,KARAMAN FUTBOL KULÜBÜ
GMG KASTAMONUSPOR,3 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
DENİZLİSPOR,2 - 1,BELEDİYE DERİNCE SPOR
FETHİYESPOR,1 - 3,ANAGOLD 24ERZİNCANSPOR
DÜZCE CAM DÜZCESPOR,1 - 5,İSKENDERUNSPOR A.Ş.
MENEMEN FUTBOL KULÜBÜ,1 - 0,AMED SPORTİF FAALİYETLER
İNEGÖLSPOR,2 - 0,ANAGOLD 24ERZİNCANSPOR
SARIYER,0 - 1,BELEDİYE DERİNCE SPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,2 - 1,İSKENDERUNSPOR A.Ş.
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
MENEMEN FUTBOL KULÜBÜ,1 - 1,KARAMAN FUTBOL KULÜBÜ
SOMASPOR,0 - 1,ISPARTA 32 SPOR
GMG KASTAMONUSPOR,0 - 1,ETİMESGUT BELEDİYESPOR
DENİZLİSPOR,1 - 1,AMED SPORTİF FAALİYETLER
DÜZCE CAM DÜZCESPOR,6 - 0,UŞAK SPOR A.Ş.
ETİMESGUT BELEDİYESPOR,0 - 1,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,0 - 1,SOMASPOR
FETHİYESPOR,0 - 0,İNEGÖLSPOR
BELEDİYE DERİNCE SPOR,0 - 0,DÜZCE CAM DÜZCESPOR
KARAMAN FUTBOL KULÜBÜ,1 - 0,DENİZLİSPOR
UŞAK SPOR A.Ş.,0 - 3,MOTOLUX 68 AKSARAY BELEDİYE SPOR
AMED SPORTİF FAALİYETLER,3 - 1,SARIYER
ISPARTA 32 SPOR,1 - 2,MENEMEN FUTBOL KULÜBÜ
ANAGOLD 24ERZİNCANSPOR,2 - 1,GMG KASTAMONUSPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 0,BELEDİYE DERİNCE SPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,3 - 0,ANAGOLD 24ERZİNCANSPOR
MENEMEN FUTBOL KULÜBÜ,1 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
GMG KASTAMONUSPOR,2 - 0,FETHİYESPOR
SARIYER,2 - 0,KARAMAN FUTBOL KULÜBÜ
SOMASPOR,2 - 1,ETİMESGUT BELEDİYESPOR
DENİZLİSPOR,1 - 2,ISPARTA 32 SPOR
DÜZCE CAM DÜZCESPOR,0 - 3,AMED SPORTİF FAALİYETLER
İSKENDERUNSPOR A.Ş.,4 - 1,UŞAK SPOR A.Ş.
FETHİYESPOR,1 - 3,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
ANAGOLD 24ERZİNCANSPOR,2 - 0,SOMASPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,2 - 2,DENİZLİSPOR
KARAMAN FUTBOL KULÜBÜ,1 - 0,DÜZCE CAM DÜZCESPOR
AMED SPORTİF FAALİYETLER,0 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
ETİMESGUT BELEDİYESPOR,2 - 3,MENEMEN FUTBOL KULÜBÜ
ISPARTA 32 SPOR,1 - 0,SARIYER
İNEGÖLSPOR,1 - 1,GMG KASTAMONUSPOR
BELEDİYE DERİNCE SPOR,0 - 1,İSKENDERUNSPOR A.Ş.
MENEMEN FUTBOL KULÜBÜ,1 - 2,ANAGOLD 24ERZİNCANSPOR
UŞAK SPOR A.Ş.,1 - 7,BELEDİYE DERİNCE SPOR
SARIYER,3 - 4,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 0,İNEGÖLSPOR
SOMASPOR,1 - 1,FETHİYESPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 2,KARAMAN FUTBOL KULÜBÜ
DÜZCE CAM DÜZCESPOR,0 - 3,ISPARTA 32 SPOR
DENİZLİSPOR,0 - 0,ETİMESGUT BELEDİYESPOR
İSKENDERUNSPOR A.Ş.,2 - 3,AMED SPORTİF FAALİYETLER
GMG KASTAMONUSPOR,1 - 1,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
AMED SPORTİF FAALİYETLER,8 - 0,UŞAK SPOR A.Ş.
İNEGÖLSPOR,1 - 0,SOMASPOR
ANAGOLD 24ERZİNCANSPOR,1 - 0,DENİZLİSPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,3 - 0,DÜZCE CAM DÜZCESPOR
ISPARTA 32 SPOR,0 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
ETİMESGUT BELEDİYESPOR,0 - 1,SARIYER
FETHİYESPOR,2 - 1,MENEMEN FUTBOL KULÜBÜ
KARAMAN FUTBOL KULÜBÜ,2 - 2,İSKENDERUNSPOR A.Ş.
SARIYER,0 - 1,ANAGOLD 24ERZİNCANSPOR
SOMASPOR,1 - 1,GMG KASTAMONUSPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,1 - 0,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
MENEMEN FUTBOL KULÜBÜ,3 - 1,İNEGÖLSPOR
DENİZLİSPOR,0 - 1,FETHİYESPOR
UŞAK SPOR A.Ş.,0 - 2,KARAMAN FUTBOL KULÜBÜ
DÜZCE CAM DÜZCESPOR,0 - 1,ETİMESGUT BELEDİYESPOR
İSKENDERUNSPOR A.Ş.,2 - 1,ISPARTA 32 SPOR
BELEDİYE DERİNCE SPOR,0 - 2,AMED SPORTİF FAALİYETLER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,1 - 2,İSKENDERUNSPOR A.Ş.
KARAMAN FUTBOL KULÜBÜ,2 - 0,BELEDİYE DERİNCE SPOR
ETİMESGUT BELEDİYESPOR,0 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
GMG KASTAMONUSPOR,1 - 0,MENEMEN FUTBOL KULÜBÜ
FETHİYESPOR,1 - 1,SARIYER
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,3 - 1,SOMASPOR
İNEGÖLSPOR,4 - 0,DENİZLİSPOR
ANAGOLD 24ERZİNCANSPOR,1 - 1,DÜZCE CAM DÜZCESPOR
ISPARTA 32 SPOR,1 - 0,UŞAK SPOR A.Ş.
MENEMEN FUTBOL KULÜBÜ,2 - 0,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
SARIYER,0 - 0,İNEGÖLSPOR
DÜZCE CAM DÜZCESPOR,0 - 0,FETHİYESPOR
AMED SPORTİF FAALİYETLER,4 - 1,KARAMAN FUTBOL KULÜBÜ
BELEDİYE DERİNCE SPOR,3 - 0,ISPARTA 32 SPOR
İSKENDERUNSPOR A.Ş.,0 - 1,ETİMESGUT BELEDİYESPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 1,ANAGOLD 24ERZİNCANSPOR
UŞAK SPOR A.Ş.,0 - 2,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
DENİZLİSPOR,1 - 2,GMG KASTAMONUSPOR
ANAGOLD 24ERZİNCANSPOR,1 - 3,İSKENDERUNSPOR A.Ş.
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,1 - 0,BELEDİYE DERİNCE SPOR
FETHİYESPOR,2 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
GMG KASTAMONUSPOR,1 - 0,SARIYER
SOMASPOR,0 - 2,MENEMEN FUTBOL KULÜBÜ
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,1 - 3,DENİZLİSPOR
İNEGÖLSPOR,1 - 3,DÜZCE CAM DÜZCESPOR
ISPARTA 32 SPOR,0 - 2,AMED SPORTİF FAALİYETLER
ETİMESGUT BELEDİYESPOR,1 - 0,UŞAK SPOR A.Ş.
SARIYER,0 - 0,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
MOTOLUX 68 AKSARAY BELEDİYE SPOR,3 - 0,İNEGÖLSPOR
İSKENDERUNSPOR A.Ş.,2 - 2,FETHİYESPOR
BELEDİYE DERİNCE SPOR,3 - 1,ETİMESGUT BELEDİYESPOR
KARAMAN FUTBOL KULÜBÜ,2 - 3,ISPARTA 32 SPOR
DENİZLİSPOR,2 - 1,SOMASPOR
AMED SPORTİF FAALİYETLER,5 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
UŞAK SPOR A.Ş.,1 - 6,ANAGOLD 24ERZİNCANSPOR
DÜZCE CAM DÜZCESPOR,0 - 1,GMG KASTAMONUSPOR
İNEGÖLSPOR,1 - 0,İSKENDERUNSPOR A.Ş.
ANAGOLD 24ERZİNCANSPOR,1 - 0,BELEDİYE DERİNCE SPOR
GMG KASTAMONUSPOR,1 - 0,MOTOLUX 68 AKSARAY BELEDİYE SPOR
SOMASPOR,1 - 1,SARIYER
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,5 - 2,KARAMAN FUTBOL KULÜBÜ
MENEMEN FUTBOL KULÜBÜ,3 - 1,DENİZLİSPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,3 - 1,DÜZCE CAM DÜZCESPOR
ETİMESGUT BELEDİYESPOR,2 - 4,AMED SPORTİF FAALİYETLER
FETHİYESPOR,4 - 0,UŞAK SPOR A.Ş.
MOTOLUX 68 AKSARAY BELEDİYE SPOR,1 - 1,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
UŞAK SPOR A.Ş.,0 - 1,İNEGÖLSPOR
BELEDİYE DERİNCE SPOR,4 - 1,FETHİYESPOR
DÜZCE CAM DÜZCESPOR,0 - 2,SOMASPOR
KARAMAN FUTBOL KULÜBÜ,2 - 1,ETİMESGUT BELEDİYESPOR
SARIYER,2 - 4,MENEMEN FUTBOL KULÜBÜ
ISPARTA 32 SPOR,0 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
AMED SPORTİF FAALİYETLER,4 - 1,ANAGOLD 24ERZİNCANSPOR
