League,Date,Home Team,Away Team,Home Score,Away Score
Ligue 1,May 2001,Bastia,Toulouse,5,1
Ligue 1,May 2001,Monaco,Lille,1,2
Ligue 1,May 2001,Nice,Bordeaux,2,0
Ligue 1,May 2001,RC Lens,Nantes,1,4
Ligue 1,May 2001,Rennes,Lyon,3,4
Ligue 1,May 2001,Sedan,Auxerre,1,0
Ligue 1,May 2001,St Etienne,Guingamp,2,2
Ligue 1,May 2001,Strasbourg,Paris Saint-Germain,1,2
Ligue 1,May 2001,Troyes,Marseille,1,1
Ligue 1,May 2001,Auxerre,Rennes,0,1
Ligue 1,May 2001,Bordeaux,Sedan,2,2
Ligue 1,May 2001,Guingamp,Troyes,1,1
Ligue 1,May 2001,Lyon,Strasbourg,5,0
Ligue 1,May 2001,Marseille,Bastia,2,1
Ligue 1,May 2001,Monaco,RC Lens,0,0
Ligue 1,May 2001,Nantes,St Etienne,1,0
Ligue 1,May 2001,Paris Saint-Germain,Lille,2,2
Ligue 1,May 2001,Toulouse,Nice,2,1
Ligue 1,May 2001,RC Lens,Troyes,1,1
Ligue 1,May 2001,Troyes,Nantes,0,1
Ligue 1,May 2001,Nice,Marseille,1,0
Ligue 1,May 2001,Bastia,Guingamp,2,0
Ligue 1,May 2001,Lille,Lyon,1,2
Ligue 1,May 2001,Paris Saint-Germain,Monaco,1,1
Ligue 1,May 2001,Rennes,Bordeaux,1,2
Ligue 1,May 2001,Sedan,Toulouse,2,3
Ligue 1,May 2001,St Etienne,RC Lens,1,1
Ligue 1,May 2001,Strasbourg,Auxerre,1,0
Ligue 1,May 2001,Lyon,Paris Saint-Germain,2,0
Ligue 1,May 2001,Nantes,Bastia,1,0
Ligue 1,May 2001,Auxerre,Lille,1,1
Ligue 1,May 2001,Bordeaux,Strasbourg,2,1
Ligue 1,May 2001,Guingamp,Nice,1,3
Ligue 1,May 2001,Marseille,Sedan,2,1
Ligue 1,May 2001,Monaco,St Etienne,5,3
Ligue 1,May 2001,Toulouse,Rennes,2,0
Ligue 1,May 2001,Strasbourg,Nice,0,1
Ligue 1,May 2001,Lyon,Monaco,2,1
Ligue 1,May 2001,Bastia,RC Lens,1,3
Ligue 1,May 2001,Nice,Nantes,1,2
Ligue 1,May 2001,Paris Saint-Germain,Auxerre,3,0
Ligue 1,May 2001,Rennes,Marseille,2,0
Ligue 1,May 2001,Sedan,Guingamp,2,2
Ligue 1,May 2001,Strasbourg,Toulouse,1,0
Ligue 1,May 2001,Troyes,St Etienne,0,0
Ligue 1,May 2001,Lille,Bordeaux,2,2
Ligue 1,May 2001,Bordeaux,Paris Saint-Germain,2,0
Ligue 1,May 2001,Toulouse,Lille,0,2
Ligue 1,May 2001,Auxerre,Lyon,0,3
Ligue 1,May 2001,Guingamp,Rennes,1,6
Ligue 1,May 2001,Marseille,Strasbourg,0,0
Ligue 1,May 2001,Monaco,Troyes,4,3
Ligue 1,May 2001,Nantes,Sedan,4,1
Ligue 1,May 2001,RC Lens,Nice,1,1
Ligue 1,May 2001,St Etienne,Bastia,2,1
Ligue 1,May 2001,Rennes,Nantes,0,2
Ligue 1,May 2001,Auxerre,Monaco,1,0
Ligue 1,May 2001,Bastia,Troyes,2,2
Ligue 1,May 2001,Lille,Marseille,1,0
Ligue 1,May 2001,Lyon,Bordeaux,2,1
Ligue 1,May 2001,Nice,St Etienne,3,0
Ligue 1,May 2001,Paris Saint-Germain,Toulouse,3,0
Ligue 1,May 2001,Sedan,RC Lens,2,2
Ligue 1,May 2001,Strasbourg,Guingamp,0,1
Ligue 1,May 2001,Troyes,Rennes,3,1
Ligue 1,May 2001,Nantes,Strasbourg,1,0
Ligue 1,May 2001,Bordeaux,Auxerre,1,0
Ligue 1,May 2001,Guingamp,Lille,0,1
Ligue 1,May 2001,Marseille,Paris Saint-Germain,1,0
Ligue 1,May 2001,Monaco,Bastia,2,1
